nombre,artistas,album,fecha_lanzamiento,popularidad,explicit,imagen_url,spotify_url,generos,contenido
Love Me Not,Ravyn Lenae,Bird's Eye,2024-08-09,89,False,https://i.scdn.co/image/ab67616d0000b273ef985ba96e76a9574cc68a30,https://open.spotify.com/track/4WFgvKVfEhb3IUAFGrutTR,alternative r&b,alternative r&b Ravyn Lenae Bird's Eye False
Iris,The Goo Goo Dolls,Dizzy up the Girl,1998,93,False,https://i.scdn.co/image/ab67616d0000b273eda9478c39a21e1cdc6609ca,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs,, The Goo Goo Dolls Dizzy up the Girl False
EoO,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,94,True,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://open.spotify.com/track/6J5kc12BW5HuP3d7C3vvx8,"reggaeton, trap latino, urbano latino, latin","reggaeton, trap latino, urbano latino, latin Bad Bunny DeBÍ TiRAR MáS FOToS True"
Messy,Lola Young,This Wasn't Meant For You Anyway,2024-06-21,89,True,https://i.scdn.co/image/ab67616d0000b2736aa2a180c7b009ca8454ef89,https://open.spotify.com/track/35ISBknsCeZQtq66xABI9g,, Lola Young This Wasn't Meant For You Anyway True
Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),2023-09-15,92,False,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,https://open.spotify.com/track/17phhZDn6oGtzMe56NuWvj,, Teddy Swims I've Tried Everything But Therapy (Part 1) False
Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",Hurry Up Tomorrow,2025-01-31,95,True,https://i.scdn.co/image/ab67616d0000b273982320da137d0de34410df61,https://open.spotify.com/track/0FIDCNYYjNvPVimz5icugS,," The Weeknd, Playboi Carti Hurry Up Tomorrow True"
Abracadabra,Lady Gaga,MAYHEM,2025-03-07,89,False,https://i.scdn.co/image/ab67616d0000b273b0860cf0a98e09663c82290c,https://open.spotify.com/track/2LHNTC9QZxsL3nWpt8iaSR,"art pop, pop","art pop, pop Lady Gaga MAYHEM False"
All The Stars (with SZA),"Kendrick Lamar, SZA",Black Panther The Album Music From And Inspired By,2018-02-09,94,True,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,"hip hop, west coast hip hop","hip hop, west coast hip hop Kendrick Lamar, SZA Black Panther The Album Music From And Inspired By True"
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,94,False,https://i.scdn.co/image/ab67616d0000b273b0dd6a5cd1dec96c4119c262,https://open.spotify.com/track/7CyPwkp0oE8Ro9Dd5CUDjW,," The Weeknd, JENNIE, Lily-Rose Depp The Idol Episode 4 (Music from the HBO Original Series) False"
Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido,2024-06-21,94,False,https://i.scdn.co/image/ab67616d0000b273491678beaffcefac517a699e,https://open.spotify.com/track/6WatFBLVB0x077xWeoVc2k,"reggaeton, latin, urbano latino","reggaeton, latin, urbano latino KAROL G Si Antes Te Hubiera Conocido False"
The Night We Met,Lord Huron,Strange Trails,2015-04-07,81,False,https://i.scdn.co/image/ab67616d0000b273b4916183f769aca218acb85f,https://open.spotify.com/track/5yJaXWIErrrsjQ3J0eR5aK,, Lord Huron Strange Trails False
Shake It To The Max (FLY) - Remix,"MOLIY, Silent Addy, Skillibeng, Shenseea",Shake It To The Max (FLY) (Remix),2025-02-21,90,True,https://i.scdn.co/image/ab67616d0000b2730069ee4e37f913fb1653b389,https://open.spotify.com/track/0QCIpQV3twfqo9kh0t8Zza,alté,"alté MOLIY, Silent Addy, Skillibeng, Shenseea Shake It To The Max (FLY) (Remix) True"
Show Me Love,"WizTheMc, bees & honey",Show Me Love,2025-02-07,94,False,https://i.scdn.co/image/ab67616d0000b2739263dc4504ccf1b02899d9ae,https://open.spotify.com/track/5ITV0zqzjOYfFWpW0xBmRa,," WizTheMc, bees & honey Show Me Love False"
party 4 u,Charli xcx,how i'm feeling now,2020-05-15,92,False,https://i.scdn.co/image/ab67616d0000b27349bdbd5880802dcbe4e0b2dd,https://open.spotify.com/track/2RdEC8Ff83WkX7kDVCHseE,"hyperpop, art pop","hyperpop, art pop Charli xcx how i'm feeling now False"
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",2024-04-05,94,False,https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7,https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu,," Chappell Roan Good Luck, Babe! False"
I Wanna Be Yours,Arctic Monkeys,AM,2013-09-09,94,False,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n,"indie, garage rock","indie, garage rock Arctic Monkeys AM False"
You'll Be in My Heart,NIKI,You'll Be In My Heart,2022-09-14,92,False,https://i.scdn.co/image/ab67616d0000b2737cd329ea4a204a8a47caf3d5,https://open.spotify.com/track/1UPB5rYJ0bzn6mNSoAHrZC,, NIKI You'll Be In My Heart False
Anxiety,Doechii,Alligator Bites Never Heal (Extended),2025-03-14,86,True,https://i.scdn.co/image/ab67616d0000b273ea29212b801087f18319c187,https://open.spotify.com/track/3LPLRNr58Z9Pn0clnEtkXb,, Doechii Alligator Bites Never Heal (Extended) True
NOKIA,Drake,$ome $exy $ongs 4 U,2025-02-14,94,True,https://i.scdn.co/image/ab67616d0000b273cc392813bfd8f63d4d5f4a95,https://open.spotify.com/track/2u9S9JJ6hTZS3Vf22HOZKg,rap,rap Drake $ome $exy $ongs 4 U True
Sweater Weather,The Neighbourhood,I Love You.,2013-04-22,93,False,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,, The Neighbourhood I Love You. False
NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,94,False,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://open.spotify.com/track/5TFD2bmFKGhoCRbX61nXY5,"reggaeton, trap latino, urbano latino, latin","reggaeton, trap latino, urbano latino, latin Bad Bunny DeBÍ TiRAR MáS FOToS False"
